==============================================================================
ENDF Radioactive Decay Data for Br-74 (Numeric MF=8/MT=457)
==============================================================================

Summary table (scientific notation):

A  Z  parent_level  decay_mode  daughter_level                 Q (keV)          BR (%)   Half-life (s)   Mean_alpha_E (keV)  Mean_beta+_E (keV)  Mean_gamma_E (keV)  Mean_X_E (keV)  Mean_Auger_E (keV)
-- -- ------------- ---------- --------------- ---------------------- -------------- ------------------ ------------------- -------------------- ------------------- -------------- -------------------
74 35             0         B+               0           6.907000e+03   9.117000e+03       1.524000e+03        0.000000e+00         1.052570e+03        3.423390e+03   2.295320e+00        9.324900e+02
                            EC               0           6.907000e+03   0.000000e+00       1.524000e+03        0.000000e+00         1.052570e+03        3.423390e+03   2.295320e+00        9.324900e+02

Discrete beta+ transitions (from numeric MF=8/MT=457):
Final_level_E (keV)   Endpoint_E (keV)   Shape   Intensity (%)   dI (%)
--------------------   ----------------   -----   --------------   ------
        2.370270e+03       2.370000e-03     1.0     1.590000e+02   2.100000e+01
        2.419460e+03       1.470000e-03     1.0     1.020000e+02   1.400000e+01
        2.526850e+03       6.100000e-03     1.0     4.500000e+02   3.000000e+01
        2.564240e+03       1.730000e-03     1.0     1.310000e+02   2.300000e+01
        2.640040e+03       3.700000e-03     1.0     2.900000e+02   2.000000e+01
        2.812300e+03       4.400000e-03     1.0     3.700000e+02   4.000000e+01
        2.862340e+03       2.600000e-03     1.0     2.200000e+02   3.000000e+01
        2.933850e+03       5.400000e-03     1.0     4.600000e+02   3.000000e+01
        2.976210e+03       7.900000e-03     1.0     6.900000e+02   4.000000e+01
        3.118450e+03       1.150000e-02     1.0     1.020000e+03   4.000000e+01
        3.173090e+03       3.700000e-03     1.0     3.300000e+02   3.000000e+01
        3.282320e+03       9.200000e-03     1.0     8.400000e+02   3.000000e+01
        3.367030e+03       8.100000e-03     1.0     7.400000e+02   5.000000e+01
        3.656590e+03       1.870000e-02     1.0     1.760000e+03   5.000000e+01
        4.527990e+03       5.000000e-05     1.0     5.000000e+00   5.000000e+00
        5.022500e+03       3.000000e-04     3.0     3.000000e+01   3.000000e+01
        5.067800e+03       2.900000e-03     1.0     2.900000e+02   4.000000e+01
        5.637540e+03       6.600000e-03     1.0     6.500000e+02   2.100000e+02
        6.052600e+03       3.800000e-03     1.0     3.800000e+02   1.300000e+02
        6.271580e+03       2.000000e-03     1.0     2.000000e+02   2.000000e+02
